ean,nombre,precio,descuento,imagen_link
6001087368483,CREMA FACIAL PONDS FLAWLES RADIANCE DERMA SERUM 30ML ,62700,,https://olimpica.vtexassets.com/arquivos/ids/477782-800-auto?width=800&height=auto&aspect=true
6902088607437,,NoneNone,,
7501005110563,,NoneNone,,
7501056326142,CREMA FACIAL PONDS S HUMECTANTE 100G ,24400,,https://olimpica.vtexassets.com/arquivos/ids/495477-800-auto?width=800&height=auto&aspect=true
7501056330293,CREMA FACIAL PONDS CLARANT B3 PIEL GRASA 50G ,13700,,https://olimpica.vtexassets.com/arquivos/ids/479891-800-auto?width=800&height=auto&aspect=true
7501056330309,CREMA FACIAL PONDS CLARANT B3 GRASA 100G ,28600,,https://olimpica.vtexassets.com/arquivos/ids/486959-800-auto?width=800&height=auto&aspect=true
7501056330323,CREMA FACIAL PONDS BIO HIDRANTE 50G ,10300,,https://olimpica.vtexassets.com/arquivos/ids/486961-800-auto?width=800&height=auto&aspect=true
7501056330330,CREMA FACIAL PONDS BIO HIDRANTE 100G ,17600,,https://olimpica.vtexassets.com/arquivos/ids/479892-800-auto?width=800&height=auto&aspect=true
7501056330385,LOCION PONDS TONICA ASTRINGENTE 207ML ,33600,,https://olimpica.vtexassets.com/arquivos/ids/495485-800-auto?width=800&height=auto&aspect=true
7501056330484,CREMA FACIAL PONDS REJUVENESS 50G ,20400,,https://olimpica.vtexassets.com/arquivos/ids/486962-800-auto?width=800&height=auto&aspect=true
7501056330491,CREMA FACIAL PONDS REJUVENESS 100G ,33700,,https://olimpica.vtexassets.com/arquivos/ids/486963-800-auto?width=800&height=auto&aspect=true
7501056330552,CREMA FACIAL PONDS REJUVENESS 200 G ,53600,,https://olimpica.vtexassets.com/arquivos/ids/486964-800-auto?width=800&height=auto&aspect=true
7501056340131,CREMA PARA PEINAR SEDAL RIZOS OBEDIENTES 300 ML ,9500None,,https://olimpica.vtexassets.com/arquivos/ids/479894-800-auto?width=800&height=auto&aspect=true
7501056342999,,NoneNone,,
7501056346270,LOCION LIMPIADORA PONDS CLARANT B3 DUAL 200ML ,33800,,https://olimpica.vtexassets.com/arquivos/ids/477833-800-auto?width=800&height=auto&aspect=true
75031060,,NoneNone,,
